date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:18:27	39079/39079	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Mar%202026%2012:47:30%20GMT	https://wealthmax.co.uk/index.html	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/index.html	(from )
19:18:28	155/155	---M--	200	added ('OK')	text/plain	date:Sat,%2007%20Mar%202026%2012:47:30%20GMT	https://wealthmax.co.uk/robots.txt		(from )
19:18:28	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2029%20Mar%202026%2013:48:27%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/wealthMax/www.googletagmanager.com/gtm.15445.delayed	(from https://wealthmax.co.uk/index.html)
19:18:30	365123/365123	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2029%20Mar%202026%2013:48:27%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/wealthMax/connect.facebook.net/en_US/fbevents.js	(from https://wealthmax.co.uk/index.html)
19:18:30	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Mar%202026%2013:48:39%20GMT	http://wealthmax.co.uk/a-lion/lion.png	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/a-lion/lion.3.delayed	(from https://wealthmax.co.uk/index.html)
19:18:30	155669/155669	---MCZ	200	added ('OK')	text/html	etag:W/%2226015-fECHvOX+ahyX9SA7eBxLsPUrAjM%22	https://wealthmax.co.uk/	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/index-2.html	(from https://wealthmax.co.uk/index.html)
19:18:31	1188/1188	---M--	200	added ('OK')	image/png	date:Sat,%2007%20Mar%202026%2012:47:32%20GMT	https://wealthmax.co.uk/a-lion/lion.png	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/a-lion/lion.png	(from https://wealthmax.co.uk/index.html)
19:18:31	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Mar%202026%2013:48:39%20GMT	http://wealthmax.co.uk/homepage/homebannernew.png	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/homepage/homebannernew.png	(from https://wealthmax.co.uk/index.html)
19:18:32	93734/93734	---M-Z	200	added ('OK')	text/css	etag:W/%2216e26-p4ONiiDb2g7p5MHLfx+DLOmvHBE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.10.5/font/bootstrap-icons.css	C:/My%20Web%20Sites/wealthMax/cdn.jsdelivr.net/npm/bootstrap-icons@1.10.5/font/bootstrap-icons.css	(from https://wealthmax.co.uk/index.html)
19:18:33	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Mar%202026%2013:48:41%20GMT	http://wealthmax.co.uk/styles.f5e4fd80204284ec.css	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/styles.f5e4fd80204284ec.9.delayed	(from https://wealthmax.co.uk/index.html)
